id,class,startPath,finishPath,speed
21,3.0,6.0,5.0,1.0
16,3.0,1.0,2.0,1.0
2,3.0,2.0,1.0,1.0
28,3.0,1.0,3.0,1.0
20,3.0,2.0,3.0,1.0
13,3.0,6.0,7.0,4.0
37,3.0,6.0,7.0,4.0
24,3.0,5.0,1.0,3.0
17,3.0,3.0,1.0,1.0
50,3.0,6.0,7.0,1.0
43,3.0,2.0,1.0,1.0
55,3.0,6.0,3.0,1.0
60,3.0,6.0,7.0,4.0
38,0.0,6.0,7.0,5.0
66,3.0,6.0,7.0,4.0
81,3.0,6.0,7.0,4.0
96,3.0,6.0,3.0,1.0
95,3.0,6.0,7.0,4.0
87,3.0,6.0,7.0,4.0
76,0.0,4.0,3.0,2.0
18,3.0,2.0,3.0,1.0
104,3.0,6.0,1.0,1.0
102,1.0,2.0,1.0,5.0
117,3.0,6.0,7.0,4.0
118,3.0,2.0,1.0,1.0
25,3.0,1.0,3.0,1.0
116,3.0,6.0,7.0,4.0
144,3.0,6.0,7.0,4.0
135,3.0,6.0,7.0,10.0
150,1.0,6.0,7.0,1.0
145,3.0,2.0,1.0,1.0
152,3.0,6.0,7.0,5.0
163,3.0,2.0,7.0,1.0
154,3.0,2.0,4.0,1.0
174,3.0,6.0,7.0,4.0
176,3.0,6.0,7.0,4.0
171,0.0,2.0,1.0,1.0
196,3.0,2.0,7.0,1.0
198,3.0,1.0,3.0,3.0
202,3.0,6.0,7.0,3.0
199,3.0,5.0,4.0,11.0
213,3.0,6.0,2.0,1.0
211,3.0,4.0,7.0,1.0
200,3.0,2.0,1.0,2.0
220,3.0,6.0,3.0,3.0
216,1.0,6.0,7.0,5.0
226,3.0,1.0,2.0,1.0
224,3.0,6.0,5.0,1.0
227,3.0,6.0,4.0,4.0
197,3.0,3.0,1.0,1.0
235,0.0,6.0,7.0,5.0
252,3.0,1.0,3.0,1.0
246,3.0,2.0,1.0,2.0
253,3.0,6.0,7.0,4.0
251,3.0,2.0,1.0,1.0
260,3.0,2.0,1.0,1.0
247,3.0,5.0,2.0,1.0
259,3.0,6.0,7.0,5.0
275,3.0,6.0,7.0,4.0
285,3.0,6.0,7.0,4.0
291,3.0,6.0,7.0,5.0
311,3.0,6.0,7.0,4.0
300,3.0,2.0,1.0,1.0
242,0.0,2.0,3.0,1.0
330,3.0,6.0,7.0,4.0
320,3.0,2.0,1.0,1.0
343,3.0,3.0,5.0,1.0
273,3.0,5.0,4.0,1.0
342,3.0,6.0,7.0,3.0
304,1.0,6.0,5.0,13.0
346,3.0,6.0,5.0,1.0
305,3.0,3.0,2.0,1.0
365,3.0,6.0,5.0,1.0
318,3.0,1.0,2.0,1.0
317,3.0,6.0,8.0,17.0
372,1.0,2.0,1.0,1.0
394,3.0,6.0,7.0,4.0
377,3.0,6.0,1.0,4.0
393,3.0,6.0,7.0,5.0
388,3.0,6.0,1.0,4.0
404,3.0,6.0,7.0,4.0
406,3.0,6.0,4.0,4.0
413,1.0,2.0,1.0,1.0
410,3.0,6.0,7.0,5.0
405,3.0,6.0,8.0,12.0
419,3.0,6.0,4.0,4.0
417,3.0,6.0,7.0,5.0
430,3.0,2.0,7.0,1.0
425,3.0,6.0,7.0,1.0
445,3.0,6.0,7.0,1.0
439,3.0,2.0,1.0,1.0
452,3.0,6.0,4.0,1.0
459,3.0,6.0,2.0,1.0
262,3.0,5.0,3.0,44.0
460,3.0,6.0,7.0,4.0
435,3.0,1.0,3.0,4.0
462,3.0,6.0,7.0,5.0
281,3.0,2.0,3.0,1.0
466,3.0,2.0,1.0,1.0
456,1.0,6.0,7.0,7.0
472,1.0,6.0,7.0,8.0
477,3.0,6.0,7.0,4.0
412,1.0,4.0,3.0,42.0
482,3.0,2.0,1.0,1.0
492,3.0,6.0,2.0,3.0
255,3.0,2.0,3.0,1.0
488,3.0,6.0,7.0,1.0
500,3.0,2.0,1.0,1.0
502,3.0,6.0,7.0,5.0
486,3.0,2.0,3.0,1.0
508,3.0,6.0,7.0,5.0
506,3.0,6.0,7.0,5.0
528,3.0,6.0,7.0,3.0
522,3.0,2.0,1.0,1.0
517,3.0,6.0,7.0,5.0
491,3.0,5.0,4.0,7.0
532,3.0,6.0,7.0,4.0
494,3.0,4.0,3.0,23.0
531,3.0,6.0,7.0,5.0
538,3.0,2.0,1.0,1.0
513,3.0,3.0,1.0,38.0
539,3.0,6.0,4.0,4.0
545,3.0,6.0,7.0,4.0
561,3.0,6.0,2.0,1.0
546,3.0,6.0,7.0,5.0
533,3.0,5.0,2.0,1.0
563,1.0,4.0,2.0,6.0
562,3.0,6.0,7.0,1.0
557,3.0,6.0,4.0,4.0
558,3.0,2.0,1.0,1.0
570,3.0,6.0,1.0,4.0
589,3.0,6.0,7.0,3.0
560,3.0,5.0,4.0,1.0
585,3.0,6.0,5.0,1.0
395,3.0,5.0,1.0,25.0
594,3.0,2.0,1.0,1.0
489,3.0,5.0,2.0,48.0
601,3.0,6.0,7.0,4.0
593,3.0,6.0,7.0,1.0
599,3.0,6.0,7.0,11.0
605,1.0,6.0,2.0,7.0
611,3.0,6.0,7.0,4.0
621,3.0,2.0,3.0,1.0
499,0.0,1.0,4.0,2.0
597,1.0,5.0,3.0,4.0
626,3.0,6.0,2.0,1.0
623,3.0,6.0,1.0,4.0
566,3.0,5.0,4.0,1.0
620,1.0,2.0,1.0,1.0
627,3.0,6.0,4.0,1.0
634,3.0,6.0,4.0,4.0
625,3.0,6.0,7.0,1.0
630,3.0,2.0,1.0,1.0
651,3.0,6.0,1.0,1.0
645,3.0,2.0,1.0,1.0
649,3.0,6.0,2.0,4.0
657,3.0,6.0,2.0,1.0
592,3.0,5.0,4.0,1.0
661,3.0,6.0,7.0,4.0
662,3.0,6.0,5.0,1.0
670,3.0,6.0,7.0,4.0
677,3.0,2.0,1.0,1.0
669,3.0,2.0,1.0,1.0
671,1.0,6.0,7.0,5.0
